Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
MCG-03-58-009,22:53:40.9,-17:28:44.0,2000.0

Beginning of Night,East Track Start (MCG-03-58-009),East Track End (MCG-03-58-009),East Track Length (MCG-03-58-009),West Track Start (MCG-03-58-009),West Track End (MCG-03-58-009),West Track Length (MCG-03-58-009),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-11-13,n/a,n/a,0,19:57:00,21:00:37,3817,16:02,03:29,99.3,17:13,18:46,01:55,03:28
2016-11-14,n/a,n/a,0,19:53:04,20:56:41,3817,17:12,04:19,99.5,17:14,18:48,01:54,03:27
2016-11-15,n/a,n/a,0,19:49:08,20:52:45,3817,18:21,05:14,96.7,17:15,18:49,01:53,03:27
2016-11-16,n/a,n/a,0,19:45:12,20:48:49,3817,19:27,06:12,91.2,17:16,18:50,01:52,03:26
2016-11-17,n/a,n/a,0,19:41:16,20:44:53,3817,20:27,07:13,83.5,17:17,18:51,01:51,03:26
2016-11-18,n/a,n/a,0,19:37:20,20:40:58,3817,21:22,08:15,74.3,17:18,18:53,01:50,03:25
2016-11-19,n/a,n/a,0,19:33:24,20:37:02,3817,22:09,09:15,64.2,17:19,18:54,01:50,03:25
2016-11-20,n/a,n/a,0,19:29:28,20:33:06,3817,22:51,10:14,53.8,17:19,18:55,01:49,03:25
2016-11-21,n/a,n/a,0,19:25:32,20:29:10,3817,23:29,11:10,43.6,17:20,18:56,01:48,03:24
2016-11-22,n/a,n/a,0,19:21:37,20:25:14,3817,00:04,n/a,33.9,17:21,18:57,01:48,03:24
2016-11-23,n/a,n/a,0,19:17:41,20:21:18,3817,00:38,12:05,25.1,17:22,18:59,01:47,03:23
2016-11-24,n/a,n/a,0,19:13:45,20:17:22,3817,01:10,12:59,17.3,17:23,19:00,01:46,03:23
2016-11-25,n/a,n/a,0,19:09:49,20:13:26,3817,01:43,13:52,10.8,17:24,19:01,01:46,03:23
2016-11-26,n/a,n/a,0,19:05:53,20:09:30,3817,02:16,14:44,5.7,17:25,19:02,01:45,03:23
2016-11-27,n/a,n/a,0,19:01:57,20:05:34,3817,02:52,15:37,2.2,17:26,19:03,01:45,03:22
2016-11-28,n/a,n/a,0,18:58:01,20:01:38,3817,03:30,16:30,0.4,17:27,19:04,01:44,03:22
2016-11-29,n/a,n/a,0,18:54:05,19:57:43,3817,04:12,17:22,0.4,17:27,19:06,01:44,03:22
2016-11-30,n/a,n/a,0,18:50:09,19:53:47,3817,04:57,18:13,2.2,17:28,19:07,01:44,03:22
2016-12-01,n/a,n/a,0,18:46:13,19:49:51,3817,05:45,19:03,5.8,17:29,19:08,01:43,03:22
2016-12-02,n/a,n/a,0,18:42:17,19:45:55,3817,06:37,19:51,11.1,17:30,19:09,01:43,03:22
2016-12-03,n/a,n/a,0,18:38:21,19:41:59,3817,07:31,20:36,17.9,17:31,19:10,01:43,03:22
2016-12-04,n/a,n/a,0,18:34:26,19:38:03,3817,08:28,21:19,26.2,17:32,19:11,01:43,03:22
2016-12-05,n/a,n/a,0,18:30:30,19:34:07,3817,09:26,21:59,35.7,17:32,19:12,01:42,03:22
2016-12-06,n/a,n/a,0,18:26:34,19:30:11,3817,10:26,22:38,46.1,17:33,19:13,01:42,03:22
2016-12-07,n/a,n/a,0,18:22:38,19:26:15,3817,11:28,23:16,56.9,17:34,19:14,01:42,03:22
2016-12-08,n/a,n/a,0,18:18:42,19:22:19,3817,n/a,23:54,67.7,17:35,19:15,01:42,03:22
2016-12-09,n/a,n/a,0,18:14:46,19:18:23,3817,12:32,00:34,77.9,17:36,19:16,01:42,03:22
2016-12-10,n/a,n/a,0,18:10:50,19:14:28,3817,13:38,01:17,86.9,17:36,19:17,01:42,03:23
2016-12-11,n/a,n/a,0,18:06:54,19:10:32,3817,14:46,02:03,93.8,17:37,19:17,01:42,03:23
2016-12-12,n/a,n/a,0,18:02:58,19:06:36,3817,15:55,02:55,98.3,17:38,19:18,01:42,03:23
2016-12-13,n/a,n/a,0,17:59:02,19:02:40,3817,17:03,03:51,99.8,17:38,19:19,01:43,03:23
2016-12-14,n/a,n/a,0,17:55:06,18:58:44,3817,18:08,04:52,98.4,17:39,19:20,01:43,03:24
2016-12-15,n/a,n/a,0,17:51:11,18:54:48,3817,19:07,05:55,94.2,17:40,19:21,01:43,03:24
2016-12-16,n/a,n/a,0,17:47:15,18:50:52,3817,20:00,06:58,87.8,17:40,19:21,01:43,03:24
2016-12-17,n/a,n/a,0,17:43:19,18:46:56,3817,20:46,08:00,79.8,17:41,19:22,01:44,03:25
2016-12-18,n/a,n/a,0,17:41:53,18:43:00,3667,21:27,09:00,70.6,17:41,19:22,01:44,03:25
2016-12-19,n/a,n/a,0,17:42:26,18:39:04,3398,22:05,09:57,60.8,17:42,19:23,01:45,03:26
2016-12-20,n/a,n/a,0,17:42:57,18:35:08,3130,22:39,10:52,50.9,17:42,19:24,01:45,03:26
2016-12-21,n/a,n/a,0,17:43:28,18:31:13,2864,23:12,11:46,41.2,17:43,19:24,01:45,03:27
2016-12-22,n/a,n/a,0,17:43:56,18:27:17,2600,23:45,n/a,32.1,17:43,19:25,01:46,03:27
2016-12-23,n/a,n/a,0,17:44:23,18:23:21,2337,00:18,12:38,23.6,17:44,19:25,01:47,03:28
2016-12-24,n/a,n/a,0,17:44:49,18:19:25,2075,00:52,13:31,16.2,17:44,19:25,01:47,03:28
2016-12-25,n/a,n/a,0,17:45:13,18:15:29,1815,01:30,14:24,9.9,17:45,19:26,01:48,03:29
2016-12-26,n/a,n/a,0,17:45:35,18:11:33,1557,02:10,15:16,5.0,17:45,19:26,01:49,03:29
2016-12-27,n/a,n/a,0,17:45:56,18:07:37,1300,02:54,16:08,1.7,17:45,19:26,01:49,03:30
2016-12-28,n/a,n/a,0,17:46:15,18:03:41,1045,03:41,16:59,0.2,17:46,19:26,01:50,03:31
2016-12-29,n/a,n/a,0,17:46:33,17:59:45,792,04:32,17:49,0.6,17:46,19:27,01:51,03:31
2016-12-30,n/a,n/a,0,17:46:49,17:55:49,540,05:27,18:35,2.9,17:46,19:27,01:52,03:32
