AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
HE1228+0131,1556,NGC4536,12,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.009325217062556252,0.009254037173163863,197.62313832387832,197.37836507581068,347.2454511,x,2102.6,1808,252,15.321,x,33.9,14.3,65.04989191551783,67.72447958324659,130.0,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,0,0,0,1556,"1550, 1600",20pm2,3.86E12 pm 4.10E11,19.7pm 1.7,d:Lya,"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1707,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.035349959361744884,0.03508013119790537,197.62313832387832,197.37836507581068,347.2454511,x,2102.6,1808,101,15.321,x,33.9,14.3,65.04989191551783,67.72447958324659,130.0,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,0,0,0,1707,"1600, 1814",598pm3,3.10E14 pm 3.61E12,56.2pm 1.9,"d:Lya, Lya","d:Lya near to Lya:1854(1575), near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1854,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.04326838556186399,0.04293811561985404,197.62313832387832,197.37836507581068,347.2454511,x,2102.6,1808,-46,15.321,x,33.9,14.3,65.04989191551783,67.72447958324659,130.0,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,0,1,0,1854,"1814, 1906",68pm3,1.39E13 pm 5.91E11,33.3pm 3.2,d:Lya,"d:Lya labeled at 1854 - I measure 1860, near to with Lya:1709, near both NGC4517A and NGC4536, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1236.0+2641,6404,NGC4555,12,"('189.017083333', '26.6933333333')","(188.92157, 26.52312)",0.03211077888722529,0.1367585283501764,267.24520355490387,380.39863958747276,326.4921116,x,6974.4,6683,279,98.23124879,x,52.5,39.9,40.53580211131656,41.55394871032682,120.0,86.6,NGC4555,.E.....,31.7,125,E,E,0.022292,0.2092,SP,0,0,1,6404,"6358, 6432",42pm11,8.44E12 pm 2.45E12,29.1pm 2.1,Lya,"center is 6395, weak : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1236.0+2641,795,NGC4559,13,"('189.017083333', '26.6933333333')","(188.99019, 27.95999)",0.26879387892918133,0.13234304920480477,164.5627779941703,132.5745073534124,188.3658364,x,1096.5,807,12,8.519,x,26.0,12.2,62.015624318577345,64.32752430603806,148.0,30.9,NGC4559,.SXT6..,66,150,SAB(rs)cd      HII,SAB(rs)cd      HII,0.002692,0.2092,SP,1,1,1,795,"715, 873",295pm37,8.27E13 pm 1.45E13,47.1pm 3.1,Lya,center is 794
RX_J1236.0+2641,1012,NGC4565,18,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",0.45218381137351654,0.5406402622795936,291.6889111034687,460.1181761243518,159.4217198,x,1522,1230,218,12.894,x,59.6,6.9,83.35185602181583,90.0,136.0,39.0,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,0.2092,SP,1,0,1,1012,"926, 1094",337pm32,9.62E13 pm 1.35E13,52.2pm 2.7,Lya,center is 1010 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,1188,NGC4565,16,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",1.4195408588873335,1.697232238222485,291.6889111034687,460.1181761243518,159.4217198,x,1522,1230,42,12.894,x,59.6,6.9,83.35185602181583,90.0,136.0,39.0,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,0.2092,SP,1,1,1,1188,"1094, 1222",288pm24,9.02E13 pm 1.25E13,37.8pm 3.4,Lya,center is 1158
PG1302-102,3448,NGC4939,1,"('196.3875', '-10.5555555556')","(196.05996, -10.33961)",0.0162378314894029,0.04964076570418741,235.46816074061732,288.88311304055145,264.7641822,x,3381.8,3110,-338,39.118,x,43.7,30.1,46.46581940540305,47.72399397925198,5.0,61.2,NGC4939,.SAS4..,59.1,10,SA(s)bc        Sy2,SA(s)bc        Sy2,0.010374,0.2784,SP,1,1,1,3448,"3402, 3492",71pm5,1.47E13 pm 1.24E12,29.7pm 2.5,"d:Lya, OVI","marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
SDSSJ135726.27+043541.4,1124,NGC5364,20,"('209.359166667', '4.59472222222')","(209.05, 5.01447)",0.6674295409154438,0.7405090242855241,210.7048966796093,226.88950614781638,183.1125727,x,1516.4,1241,117,20.15,x,37.2,21.2,55.25727208199667,56.99928007977958,48.0,84.3,NGC5364,.SAT4P.,49.8,30,SA(rs)bc pec   HII,SA(rs)bc pec   HII,0.00414,1.2345,SI,1,1,1,1124,"1095, 1161",85pm11,1.95E13 pm 2.93E12,23.0pm 2.3,Lya,center is 1128
SDSSJ135726.27+043541.4,1296,NGC5364,18,"('209.359166667', '4.59472222222')","(209.05, 5.01447)",0.8713413692471662,0.9667479600555712,210.7048966796093,226.88950614781638,183.1125727,x,1516.4,1241,-55,20.15,x,37.2,21.2,55.25727208199667,56.99928007977958,48.0,84.3,NGC5364,.SAT4P.,49.8,30,SA(rs)bc pec   HII,SA(rs)bc pec   HII,0.00414,1.2345,SI,1,1,1,1296,"1264, 1324",98pm9,2.37E13 pm 2.75E12,21.1pm 1.4,Lya,center is 1294
