target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
SDSSJ120721.00+262428.0,,,,,,,,,,,,,,,,,QSO,214.62,80.14,0.32249,Tumlinson,12248,LBHO55,"SN=N:10.5,C:8.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
KAZ238,,,,,,,,,,,,,,,,,Sey,110.96,-28.35,0.04310,Lehner,14268,LCXV09-10,"SN=N:10.5,C:9.5",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
CSO434,,,,,,,,,,,,,,,,,QSO,78.58,66.66,0.87472,Tumlinson,11598,LB5N23,"SN=N:10.5,C:7.3",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=msys
RX_J1131.1+2632,,,,,,,,,,,,,,,,,QSO,210.24,72.10,0.24400,Wakker,14772,LD5Z22,SN=N:10.4,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
LBQS1019+0147,,,,,,,,,,,,,,,,,QSO,242.16,46.07,0.79032,Tumlinson,11598,LB5N29,"SN=N:10.3,C:7.8",v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
US2450,,,,,,,,,,,,,,,,,QSO,208.78,71.35,0.37900,Heckman,12603,LBS350,SN=N:10.2,v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0044+030,,,,,,,,,,,,,,,,,QSO,120.80,-59.52,0.62326,Wakker,12275,LBH420,SN=N:10.2,v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
UVQSJ144805.34-011058.0,,,,,,,,,,,,,,,,,QSO,352.41,50.14,0.02750,"Jaskot,Stark","14080,15185",XXX,SN=2,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
UVQSJ101124.46-044216.3,,,,,,,,,,,,,,,,,QSO,246.25,39.94,0.52300,Burchett,15227,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
US3150,,,,,,,,,,,,,,,,,QSO,174.43,-51.93,0.46800,Chen,14145,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
US1107,,,,,,,,,,,,,,,,,QSO,173.11,50.74,0.25900,Bordoloi,13852,XXX,SN=10,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
UGC12163,,,,,,,,,,,,,,,,,Sey,92.14,-25.34,0.02468,Crenshaw,12212,LBGU63,"SN=N:10.0,C:10.8,O:8.9",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
SDSSJ222836.30-095009.0,,,,,,,,,,,,,,,,,QSO,53.24,-52.18,0.79800,Bordoloi,13852,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ213357.89-071217.3,,,,,,,,,,,,,,,,,QSO,46.59,-39.21,0.23970,Ellison,13774,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ161916.50+334238.0,,,,,,,,,,,,,,,,,QSO,54.59,45.18,0.47100,Tumlinson,11598,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ155855.30+125555.0,,,,,,,,,,,,,,,,,Sey,24.56,44.03,0.28800,Borthakur,14071,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ153644.90+141230.0,,,,,,,,,,,,,,,,,QSO,22.88,49.45,0.39700,Ellison,13774,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ142614.79+004159.4,,,,,,,,,,,,,,,,,QSO,347.60,55.13,0.89748,Heckman,13473,LC9F05,"SN=N:12.2,C:6.7",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
SDSSJ135426.10+144151.0,,,,,,,,,,,,,,,,,Sey,355.81,70.78,0.21400,Borthakur,14071,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ124154.00+572107.0,,,,,,,,,,,,,,,,,QSO,125.48,59.73,0.58300,Tumlinson,"11598,13033",XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ120917.30+261613.0,,,,,,,,,,,,,,,,,QSO,215.75,80.55,0.57700,Borthakur,14071,XXX,SN=10,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ112756.70+115427.0,,,,,,,,,,,,,,,,,QSO,246.72,65.20,0.50900,Chen,14145,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ111507.60+023757.0,,,,,,,,,,,,,,,,,QSO,255.55,56.37,0.56700,Heckman,12603,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ110612.30+292730.0,,,,,,,,,,,,,,,,,Sey,200.97,66.77,0.31300,Bowen,13749,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ104550.90+441815.0,,,,,,,,,,,,,,,,,QSO,170.31,59.56,0.92962,Wakker,14772,LD5Z32,SN=N:10.0,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ103216.14+505119.7,,,,,,,,,,,,,,,,,Sey,161.37,54.59,0.17330,Green,12025,LBG806-07,"SN=N:10.0,C:7.7",v3.0,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ101814.00+054625.0,,,,,,,,,,,,,,,,,QSO,236.30,47.80,0.46800,Tejos,13833,XXX,SN=10,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ083220.00+243100.0,,,,,,,,,,,,,,,,,QSO,199.77,32.30,1.30200,Borthakur,14071,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ022614.50+001529.0,,,,,,,,,,,,,,,,,QSO,166.57,-54.38,0.61500,Tumlinson,11598,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SBS1521+598,,,,,,,,,,,,,,,,,QSO,95.18,48.55,0.28620,Wakker,12276,LBI613,SN=N:10.0,v3.0,nightonly=TODO,IGMPARS=prt,FPN=no
RX_J1419.3+3202,,,,,,,,,,,,,,,,,QSO,52.69,70.32,0.37700,Cooke,13423,XXX,SN=10,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
RX_J1144.5+0705,,,,,,,,,,,,,,,,,Sey,261.52,64.44,0.07200,Borthakur,14071,XXX,SN=10,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
RX_J1142.7+4625,,,,,,,,,,,,,,,,,Sey,153.55,66.42,0.11522,Wakker,14772,LD5Z26,SN=N:10.0,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
QSO1500-4140,,,,,,,,,,,,,,,,,QSO,327.73,14.55,0.33500,Winkler,11659,LB3F03,SN=N:10.0,v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PDS456,,,,,,,,,,,,,,,,,QSO,10.39,11.16,0.18400,Fox,13448,LC8Y16,"SN=N:10.0,C:16.9",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
