AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,VCC1523,72,"('187.804583333', '12.0519444444')","(188.45282, 12.78004)",1.42135772628758e-40,0.0,35.36218090933294,4.685296148590822,338.4213666452926,x,1426.9,1127.0,81.0,20.09687158,x,2.8,2.5,24.5,61.0,20.0,0,x,x,x,"dE0,N","dE0,N",0.003758
MS1228.6+1219,1046,VCC1020,72,"('187.804583333', '12.0519444444')","(186.88332, 11.61519)",7.752821955401805e-41,0.0,43.6566776107277,7.407563702054812,413.24759794253805,x,1677.9,1378.0,332.0,23.63267859,x,3.8,2.8,42.3,73.0,8.9,0,x,x,x,"dE4,N: or ImIV","dE4,N: or ImIV",0.004595
MS1228.6+1219,1046,SDSSJ123111.87+124101.0,72,"('187.804583333', '12.0519444444')","(187.79949, 12.68363)",1.8266991772814557e-43,0.0,25.061655495164096,2.2165288177689004,246.74268768296875,x,1589.0,1289.0,243.0,22.37960969,x,1.7,1.4,29.5,29.0,29.5,0,x,x,x,x,x,0.004301
MS1228.6+1219,1046,SDSSJ123007.57+123631.0,72,"('187.804583333', '12.0519444444')","(187.53156, 12.60861)",5.132988080596911e-45,0.0,22.988094234022373,1.8371173070873836,231.2430219576425,x,1524.0,1224.0,178.0,21.46437818,x,1.5,1.3,29.5,152.0,2.4,0,x,x,x,x,x,0.004082
MS1228.6+1219,1046,IC3446,72,"('187.804583333', '12.0519444444')","(187.84558, 11.49239)",1.6069805278077955e-48,0.0,42.860693087198044,7.117092102818398,447.4558391278494,x,1551.9,1252.0,206.0,45.700001,x,3.7,1.6,63.9,45.0,49.1,IC3446,.S?....,64.1,-99,SmIII/BCD,SmIII/BCD,0.004176
MS1228.6+1219,1046,VCC0854,72,"('187.804583333', '12.0519444444')","(186.48207, 12.76972)",2.694408927334437e-50,0.0,34.485854956043596,4.436552715791846,363.5968012113142,x,1001.0,701.0,-345.0,14.09851882,x,2.7,0.9,70.1,77.0,42.0,0,x,x,x,"dE8,N","dE8,N",0.002339
MS1228.6+1219,1046,SDSSJ123344.73+105939.8,72,"('187.804583333', '12.0519444444')","(188.43641, 10.9944)",4.853175588443611e-53,0.0,40.43155575527607,6.269290230959163,443.02867150618357,x,1470.7,1171.0,125.0,20.71420824,x,3.4,0.6,79.9,x,24.7,IC3499,.S..0..,70.2,125.0,x,x,0.003906
MS1228.6+1219,1046,IC3520,72,"('187.804583333', '12.0519444444')","(188.63254, 13.50367)",5.700174526193947e-55,0.0,40.43155575527607,6.269290230959163,449.1157584116143,x,1099.8,800.0,-246.0,15.49066293,x,3.4,2.5,42.8,x,x,IC3520,.S?....,46.2,-99,Scd            HII,Scd            HII,0.002667
MS1228.6+1219,1046,SDSSJ123340.31+124413.5,72,"('187.804583333', '12.0519444444')","(188.41798, 12.7371)",2.3590747462536782e-55,0.0,28.99554748433651,3.043189116699782,324.8316853206111,x,1451.9,1152.0,106.0,20.44904473,x,2.1,2.1,8.1,15.0,26.2,0,x,x,x,x,x,0.003844
MS1228.6+1219,1046,VCC1044,72,"('187.804583333', '12.0519444444')","(186.94278, 11.43511)",1.0034403107590083e-55,0.0,37.08631354819165,5.196152422706632,414.39955468570366,x,1612.9,1313.0,267.0,22.71684979,x,3.0,1.5,59.3,x,x,0,x,x,x,"dE5,N","dE5,N",0.00438
