status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
OK,IRAS01003-2238,IRAS01003-2238,IRAS01003-2238,PGC003730,"IRAS0100-22,IRAS01003-2238",['IRAS_F01004-2237']
OK,IRAS08030+5243,IRAS08030+5243,IRAS08030+5243,IRAS08030+5243,IRAS08030+5243,['IRAS_F08030+5243']
OK,IRAS08339+6517,IRAS08339+6517,IRAS08339+6517,IRAS08339+6517,IRAS08339+6517,"['IRAS-L08339+6517', 'IRAS_F08339+6517', 'MS0834.0+6517']"
new,IRAS09583+4714-P,IRAS09583+4714-P,IRAS09583+4714-B,2MASXJ10013116+4659468,IRAS09583+4714-P,[]
OK,IRAS10378+1109,IRAS10378+1109,IRAS10378+1109,IRAS10378+1109,IRAS10378+1109,['IRAS_F10378+1108']
new,IRAS11598-0112,IRAS11598-0112,IRAS11598-0112,IRAS11598-0112,IRAS11598-0112,[]
OK,IRAS12071-0444,IRAS12071-0444,IRAS12071-0444,IRAS12071-0444,"IRAS1207-04,IRAS12071-0444-T",['IRAS_F12072-0444']
OK,IRAS16087+4308,IRAS16087+4308,IRAS16087+4308,PGC057360,KISSR2125,"['IRAS_F16087+4308', 'KISSR2125']"
new,IRAS16474+3430,IRAS16474+3430,IRAS16474+3430,IRAS16474+3430,"IRAS16474+3430,IRAS16474+3430-T",['IRAS_F16474+3430']
OK,IRAS17028+5817,IRAS17028+5817,IRAS17028+5817,IRAS17028+5817,IRAS17028+5817,['IRAS_F17028+5817']
OK,IRAS17254-1413,IRAS17254-1413,IRAS17254-1413,PDS456,PDS456,['IRAS_F17254-1413']
OK,IRAS21219-1757,IRAS21219-1757,IRAS21219-1757,PGC066703,IR2121-1757,['IRAS_F21219-1757']
OK,IRAS23365+3604,IRAS23365+3604,IRAS23365+3604,IRAS23365+3604,"IRAS23365+3604,IRAS23365+3604-T",['IRAS_F23365+3604']
new,SDSSJ080250.09+190119.2,J080250.09+19011,J080250.09+19011,SDSSJ080250.09+190119.2,J080250.09+19011,[]
new,SDSSJ102548.38+362258.4,J102548.47+36225,J102548.47+36225,SDSSJ102548.38+362258.4,J102548.47+36225,[]
new,SDSSJ111244.05+550347.0,J111244.15+55034,SDSSJ111244.05+550347.0,SDSSJ111244.05+550347.0,J111244.15+55034,[]
new,SDSSJ111323.88+293039.3,J111323.99+29303,SDSSJ111323.88+293039.3,SDSSJ111323.88+293039.3,J111323.99+29303,[]
new,SDSSJ114422.28+401221.1,J114422.31+40122,SDSSJ114422.28+401221.1,SDSSJ114422.28+401221.1,J114422.31+40122,[]
new,IRAS_F14124+0554,J141454.23+05404,IRAS_F14124+0554,IRAS_F14124+0554,J141454.23+05404,[]
new,IRAS_F14138+1237,J141612.96+12234,IRAS_F14138+1237,IRAS_F14138+1237,J141612.96+12234,[]
new,SDSSJ142856.41+165339.3,J142856.4+165339,SDSSJ142856.41+165339.3,SDSSJ142856.41+165339.3,J142856.4+165339,[]
new,SDSSJ142947.00+064334.9,J142947.03+06433,SDSSJ142947.00+064334.9,SDSSJ142947.00+064334.9,J142947.03+06433,[]
new,SDSSJ143004.07+022213.3,J143004.07+02221,J143004.07+02221,SDSSJ143004.07+022213.3,J143004.07+02221,[]
new,SDSSJ143832.04+390333.7,J143832.04+39033,J143832.04+39033,SDSSJ143832.04+390333.7,J143832.04+39033,[]
new,SDSSJ152141.42+075921.7,J152141.52+07592,J152141.52+07592,SDSSJ152141.42+075921.7,J152141.52+07592,[]
new,SDSSJ152521.88+075720.3,J152521.84+07572,SDSSJ152521.88+075720.3,SDSSJ152521.88+075720.3,J152521.84+07572,[]
