AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
HS1831+5338,UMaDwarf,"('278.20708', '53.67278')","('158.72', '51.92')",111.01774734,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.039,SP,[]
KISSR1942,UMaDwarf,"('230.70167', '43.77333')","('158.72', '51.92')",82.8072958831,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0394,DG,[]
KISSR1942,2MASXJ15220182+4331560,"('230.70167', '43.77333')","('230.50746', '43.53232')",435.990902526,6357.44,89.5413877,12.5,9.64,x,39,x,x,x,x,x,0.020542,0.0394,DG,[]
HE0429-5343,UMaDwarf,"('67.66667', '-53.61556')","('158.72', '51.92')",228.850624274,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.04,SP,[]
HE0429-5343,6dFJ0454135-532139,"('67.66667', '-53.61556')","('73.55604', '-53.36094')",433.693906187,502.31,7.074746404,x,x,x,x,x,50,35.8,.LA.-P*,x,0.002085,0.04,SP,[]
HE0429-5343,NGC1566,"('67.66667', '-53.61556')","('65.00175', '-54.93781')",421.688947559,1360.57,11.834,28.57,22.72,x,37,x,60,9.9,.SXS4..,(R'_1)SAB(rs)bcSy1,0.005017,0.04,SP,"[('LGG114', '18.6300428986', '1.72617861283')]"
HE0429-5343,NGC1596,"('67.66667', '-53.61556')","('66.90879', '-55.02781')",402.903066304,1371.5,15.6,16.79,4.54,0.5351,74,x,20,2.3,.LA..*/,SA0: sp,0.005037,0.04,SP,"[('LGG114', '18.6300428986', '1.72617861283')]"
HE0429-5343,NGC1617,"('67.66667', '-53.61556')","('67.91471', '-54.60228')",233.260285757,926.5,13.4,16.76,8.19,0.7621,60,x,107,64.5,.SBS1..,(R')SAB(rs)a,0.003546,0.04,SP,[]
KISSR2021,UMaDwarf,"('236.46958', '44.26306')","('158.72', '51.92')",88.0960536423,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.04,DG,[]
KISSR2021,SDSSJ154542.13+443040.4,"('236.46958', '44.26306')","('236.42554', '44.51122')",367.294812449,5973.09,84.12805881,13.69,4.24,0.0232,71,71,x,78.2,x,x,0.019318,0.04,DG,[]
MRK231,UMaDwarf,"('194.05917', '56.87361')","('158.72', '51.92')",36.8546166106,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.041,DG,[]
NGC985,UMaDwarf,"('38.6575', '-8.7875')","('158.72', '51.92')",203.051363904,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0431,NP,[]
NGC985,NGC0988,"('38.6575', '-8.7875')","('38.86563', '-9.35619')",180.99799243,1254.64,17.15,22.95,12.47,0.0039,57,x,-99,x,.SBS6*.,SB(s)cd:       HII,0.005037,0.0431,NP,"[('LGG71', '16.2312018793', '1.219838272')]"
NGC985,NGC1042,"('38.6575', '-8.7875')","('40.09986', '-8.43354')",250.555015733,1119.46,9.77,13.36,10.23,x,40,x,-99,x,.SXT6..,SAB(rs)cd      NLAGN,0.004573,0.0431,NP,"[('LGG71', '16.2312018793', '1.219838272')]"
NGC985,NGC1035,"('38.6575', '-8.7875')","('39.87121', '-8.13294')",440.54247626,988.99,18.46,11.81,3.76,0.0102,71,x,150,88.6,.SAS5$.,SA(s)c?,0.00414,0.0431,NP,"[('LGG71', '16.2312018793', '1.219838272')]"
SDSSJ014143.20+134032.0,UMaDwarf,"('25.43', '13.67556')","('158.72', '51.92')",181.552743158,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0454,SP,[]
SDSSJ014143.20+134032.0,NGC0660,"('25.43', '13.67556')","('25.76', '13.64506')",75.6148685565,597.15,13.45,24.8,7.69,0.0261,71,42,170,53.4,.SBS1P.,SB(s)a pec;HII LINER,0.002835,0.0454,SP,[]
SDSSJ014143.20+134032.0,UGC01211,"('25.43', '13.67556')","('25.97971', '13.80686')",291.414651734,2155.87,30.36438183,18.81,14.86,0.0,37,x,-99,x,.I..9*.,Im:,0.008032,0.0454,SP,[]
UM428,UMaDwarf,"('171.66958', '-1.69389')","('158.72', '51.92')",96.4628998894,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0464,SP,[]
FAIRALL9,UMaDwarf,"('20.94083', '-58.80583')","('158.72', '51.92')",274.100262642,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.047,SP,[]
MRK1253,UMaDwarf,"('154.88667', '-3.3375')","('158.72', '51.92')",97.5761717432,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.049,PL,[]
MRK1253,SDSSJ101912.84-031251.5,"('154.88667', '-3.3375')","('154.8035', '-3.21432')",340.629476139,9327.86,131.378307,23.96,14.85,1.1309,51,28,x,62.0,x,Sc,0.0303,0.049,PL,[]
MRK1253,LCRSB101650.5-030016,"('154.88667', '-3.3375')","('154.84442', '-3.25617')",216.158922338,9597.91,135.1818446,17.7,6.68,0.3276,67,x,x,x,x,x,0.0312,0.049,PL,[]
MRK1253,2dFGRSN156Z056,"('154.88667', '-3.3375')","('154.85625', '-3.57478')",476.22407199,8098.49,114.0632101,14.93,2.65,0.0702,79,x,x,x,x,x,0.0262,0.049,PL,[]
MRK1253,2MASXJ10184698-0313079,"('154.88667', '-3.3375')","('154.69592', '-3.21904')",427.741505248,7758.56,109.2755267,14.3,9.21,1.1067,49,150,x,28.1,x,x,0.025067,0.049,PL,[]
MRK1253,IC0600,"('154.88667', '-3.3375')","('154.29546', '-3.49778')",216.66839578,1547.08,20.299999,13.58,7.09,x,58,x,-99,x,.SBS8..,SB(s)dm,0.004353,0.049,PL,[]
CS1376,UMaDwarf,"('202.45708', '29.57972')","('158.72', '51.92')",68.9148758161,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.049,DG,[]
CS1376,SDSSJ132742.58+303117.3,"('202.45708', '29.57972')","('201.92721', '30.52136')",148.619954477,577.23,8.129987737,x,x,0.0432,x,x,x,x,x,x,0.001,0.049,DG,[]
CS1376,RCS05110806011,"('202.45708', '29.57972')","('201.85092', '30.17755')",171.770445519,877.82,12.36373046,x,x,x,x,x,x,x,x,x,0.002,0.049,DG,[]
CS1376,RCS05110501446,"('202.45708', '29.57972')","('202.22133', '30.36313')",293.769760789,1476.12,20.79045972,x,x,0.0211,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,RCS05110404030,"('202.45708', '29.57972')","('202.09577', '30.2643')",273.217032296,1476.41,20.79457417,x,x,x,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,RCS05011102617,"('202.45708', '29.57972')","('203.08389', '30.08321')",105.017768291,576.49,8.119588725,x,x,0.0049,x,x,x,x,x,x,0.001,0.049,DG,[]
CS1376,RCS05011102214,"('202.45708', '29.57972')","('203.11497', '30.06435')",161.325134253,876.48,12.34478029,x,x,0.0153,x,x,x,x,x,x,0.002,0.049,DG,[]
CS1376,RCS05011000866,"('202.45708', '29.57972')","('202.88925', '30.0073')",373.97503807,2674.84,37.67380241,x,x,x,x,x,x,x,x,x,0.008,0.049,DG,[]
CS1376,RCS05010801839,"('202.45708', '29.57972')","('202.62527', '30.06123')",479.274147231,3875.08,54.57863672,x,x,x,x,x,x,x,x,x,0.012,0.049,DG,[]
CS1376,RCS05010602102,"('202.45708', '29.57972')","('202.3804', '30.06903')",361.177214548,2975.36,41.90654827,x,x,x,x,x,x,x,x,x,0.009,0.049,DG,[]
CS1376,RCS05010503327,"('202.45708', '29.57972')","('203.03009', '30.2566')",304.467348078,1475.31,20.77895933,x,x,0.0833,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,RCS05010301764,"('202.45708', '29.57972')","('202.79452', '30.34628')",358.065381732,1775.46,25.00652629,x,x,0.0039,x,x,x,x,x,x,0.005,0.049,DG,[]
CS1376,RCS05010203649,"('202.45708', '29.57972')","('202.73487', '30.23333')",406.786302516,2375.7,33.4605764,x,x,x,x,x,x,x,x,x,0.007,0.049,DG,[]
CS1376,RCS05001104203,"('202.45708', '29.57972')","('203.03975', '30.60338')",329.523607188,1174.78,16.54625536,x,x,x,x,x,x,x,x,x,0.003,0.049,DG,[]
CS1376,RCS05001001623,"('202.45708', '29.57972')","('202.96681', '30.50041')",370.194723674,1475.03,20.77501726,x,x,x,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,RCS05000902253,"('202.45708', '29.57972')","('202.81699', '30.52352')",214.064778552,876.17,12.34048998,x,x,x,x,x,x,x,x,x,0.002,0.049,DG,[]
