galaxyName,target type,right ascension,declination,AGNname,degreesJ2000RA_DecAGN,equinox,bandpass,minimum magnitude,maximum magnitude,mu,auto_mu,auto_2_mu,ranking,new_ranking,observing time,new_Texp,new_s/n,maximum lunar phase,exposure time,s/n,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,ca_h_k,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),major_radius,minor_radius,angDiameter (arcsec),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
NGC3630_ca,SpiralG,170.07075,2.96439,RX_J1121.2+0326,"('170.30917', '3.42944')",2000,B,12.91,12.91,,22.30500718,21.55706887,Low,,150,,,100,140,91,S0,0.004953,1,pg3000,73,36.5,6595.305548,3952.480149,236.1617344,1768.14,21.4,85.2,38.34,76.68,"(170.4, 76.68)",0.067588797,x,63,37,37,9.9,.L..../,37,[]
NGC4233_ca,SpiralG,184.28201,7.6244,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')",2000,B,12.9,12.9,,22.24980918,21.81317934,Low,,150,,,100,140,95,S0^0^,0.007909,1,pg3000,73.75,36.875,6614.705185,3964.106097,260.3990517,2669.44,24.19,72.3,40.49,80.98,"(144.6, 80.98)",0.062909499,x,55,175,175,20,.L..0..,174,[]
NGC4316,SpiralG,185.676,9.33247,LBQS1220+1006,"('185.80042', '9.83861')",2000,B,13.6,13.6,,23.28275509,22.77342569,Low,,91,,,25,80,100,Sbc;Sy         LINER,0.00417,0.6,pg2300,98.5,49.25,6590.166876,3949.40061,293.3671093,1549.35,27.27,87.15,17.43,34.86,"(174.3, 34.86)",0.051015835,x,78,113,110,83.6,.S..6?.,113,[]
RFGC3781,SpiralG,324.43825,-38.49256,RBS1768,"('324.70708', '-38.47778')",2000,B,15.82,15.82,,25.26944944,26.23967541,Low,,311,,,90,300,100,Sb,0.030561,1,pg2300,97.75,48.875,6763.365731,4053.196413,464.166338,8951.06,48.41,39.6,6.3,12.6,"(79.2, 12.6)",0.034254538,x,80,158,x,x,x,x,[]
NGC4442,SpiralG,187.01618,9.80371,LBQS1220+1006,"('185.80042', '9.83861')",2000,B,11.33,11.33,,21.760084,20.44122937,Low,,30,,,25,20,100,SB(s)0^0^,0.001775,0.6,pg2300,98.5,49.25,6574.44897,3939.981075,320.2797078,831.55,26.5,178.5,91.035,182.07,"(357.0, 182.07)",0.024981939,x,59,83,83,8.7,.LBS0..,87,[]
NGC4247,SpiralG,184.492,7.27395,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')",2000,B,14.36,14.36,,23.05213386,23.18431108,Low,,211,,,25,200,100,(R)SAB(s)ab pec?,0.012802,0.6,pg2300,100,50,6646.816966,3983.350266,332.7414514,4136.31,23.22,41.1,35.345,70.69,"(82.2, 70.69)",0.008405608,x,30,40,85,6.9,RSXS2P$,-99,[]
IC5325,SpiralG,352.18096,-41.33347,RBS2000,"('351.18625', '-40.68028')",2000,B,11.83,11.83,,21.51542186,20.37846656,Low,,30,,,25,20,100,SAB(rs)bc,0.005013,0.6,pg2300,98.5,49.25,6595.699316,3952.716129,314.3353632,1246.2,20.45,116.5,106.015,212.03,"(233.0, 212.03)",0.006207841,"1598, weak",24,15,15,64.1,.SXT4..,-99,"[('LGG472', '19.0675242541', '2.43668845184')]"
NGC4307,SpiralG,185.52368,9.04363,LBQS1220+1006,"('185.80042', '9.83861')",2000,B,13.4,13.4,,22.83609724,21.96960028,Low,,90,,,25,80,100,Sb;LINER       HII,0.003643,0.6,pg2300,98.5,49.25,6586.70828,3947.327919,340.717285,1391.24,20.65,91.7,16.505,33.01,"(183.4, 33.01)",0.00276385,x,79,25,25,6.1,.S..3./,24,[]
IC3255,SpiralG,185.89475,9.64861,LBQS1220+1006,"('185.80042', '9.83861')",2000,B,16.5,16.5,,24.48901685,25.15517139,Low,,411,,,90,400,72,Sbc(s)II,0.021567,1,pg2300,96.25,48.125,6704.339908,4017.823011,351.7880281,6765.47,21.48,23.25,19.53,39.06,"(46.5, 39.06)",0.002611635,x,32,155,155,1.1,x,x,"[('UZC486', '103.220778349', '5.9786354291')]"
NGC2855,SpiralG,140.36454,-11.9095,3C218,"('139.52375', '-12.09528')",2000,B,12.63,12.63,,22.23036811,21.49874173,Low,,70,,,25,60,100,(R)SA(rs)0/a  LINER?,0.006328,0.6,pg2300,99.25,49.625,6604.329398,3957.888024,387.0154279,2080.37,23.7,92.95,74.36,148.72,"(185.9, 148.72)",0.001864096,x,36,125,125,47.7,RSAT0..,-99,[]
UGC08153,SpiralG,195.77465,3.99188,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')",2000,B,15.4,15.4,,24.18356796,23.96854846,Low,,211,,,90,200,77,Sd,0.00955,1,pg2300,100,50,6625.47474,3970.56015,425.3744992,3155.77,20.64,50.3,44.8,89.6,"(100.6, 89.6)",0.00010221,x,27,22,x,x,.S..7..,-99,[]
UGC00726,SpiralG,17.48983,-1.74969,LBQS0107-0233,"('17.56792', '-2.31417')",2000,B,14.59,14.59,,23.45602739,23.42736419,Low,none!,211,,,25,200,100,SB(s)d?,0.012866,0.6,pg2300,100,50,6647.236985,3983.601978,499.7784174,3567.78,23.36,47.95,27.35,54.7,"(95.9, 54.7)",2.27E-05,2 but no IDs,55,144,144,28.1,.SBS7?.,144,[]
SDSSJ124044.25+093838.7_ca,Galaxy,190.18438,9.64411,LBQS1238+1006,"('190.14792', '9.82806')",2000,B,16.99,16.99,,24.75423431,25.55538996,Low,,701,,,90,675,29,x,0.024537,1.25,pg3000,74.5,37.25,6723.831424,4029.504021,352.6927094,7655,20.61,19.7,11.45,22.9,"(39.4, 22.9)",0.001783031,x,54,156,156,12.9,x,x,[]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1097,SpiralG,41.57937,-30.27489,2dFGRS_S393Z082,"('41.25333', '-30.12306')",2000,B,10.23,10.23,,,,,High?,,,,,,,(R'_1:)SB(r'l)bSy1,,,,,,,,,1274,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxyName,type,ra,dec,,,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),,,,minorAxis (kpc),,Lstar,,,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc),,,,,,,,,,,,,,,,
NGC5356,SpiralG,208.74358,5.33372,,,400.5849919,1650.24,23.9,21.02,,,,6.73,,0.3942,,,0.000354026,"1296, possibly associated with something else",71,15,54.7,.SX.4*/,15,SABbc: sp      HII,1.234,0.004583,[],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rejected:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0731,EllipticalG,28.7342,-9.01081,,,2000,B,13.46,13.46,,,,High,,621,,,25,596,100,E+:,0.012782,1,pg3000,73,36.5,6646.68571,3983.271606,132.2096694,3553.64,23.05,,,"(95.0, 85.5)","(95.0, 85.5)",0.466661941,"4761, strong",25,150,150,83.2,.E+..*.,-99,[]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1097,,41.57937,-30.27489,,,111.9452231,1029.788737,,54.20803976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),v_hel,distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,likelihood,Lya?,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,,RC3pa (deg),morphology,AGNredshift,groups_dist_std (Mpc),,,,,,,,,,,,,,,,,,,,,,,
NGC1097,2dFGRS_S393Z082,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",111.9452231,1029.79,,20.038,54.21,36.72,x,0.845460973,yes,47,x,11.7,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,0.34,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]",,,,,,,,,,,,,,,,,,,,,,,
2MASXJ11223041+0315459,SDSSJ112224.10+031802.0,170.62667,3.26275,104.1341219,9208.21,,129.6930657,16.79,9.4,2.3632,0.480860954,,55,135,10.3,x,,x,x,0.475,[],,,,,,,,,,,,,,,,,,,,,,,
NGC0755,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')","('29.0945', '-9.06142')",85.69372087,1361.3,,20.185,14.32,4.87,0.1068,70,45,45,72,.SBT3?.,SB(rs)b?       HII,,0.005467,0.1644,SP,,,,,,,,,,,,,,,,,,,,,,,,
